Gene	Accession No.	Species
rho	EU863145	Chelostoma hellenicum
rho	EU863146	Chelostoma incisulum
rho	EU851651	Chelostoma lamellum
rho	EU863147	Chelostoma laticaudum
rho	EU863148	Chelostoma marginatum incisuloides
rho	EU863149	Chelostoma minutum
rho	EU863136	Chelostoma mocsaryi
rho	EU863137	Chelostoma nasutum
rho	EU863150	Chelostoma phaceliae
rho	EU851657	Chelostoma philadelphi
rho	EU851656	Chelostoma rapunculi
rho	EU863138	Chelostoma sp. 2 CJP-2008
rho	EU863139	Chelostoma sp. 3 CJP-2008
rho	EU863151	Chelostoma styriacum
rho	EU863140	Chelostoma transversum
rho	EU863152	Chelostoma ventrale
rho	DQ884559	Chilicola herbsti
rho	DQ884558	Chilicola rostrata
rho	DQ884557	Chilicola vicugna
rho	DQ115553	Chilicolletes delahozii
rho	DQ884552	Chilimelissa australis
rho	DQ884554	Chilimelissa irwini
rho	DQ884553	Chilimelissa nortina
rho	DQ115549	Chilimelissa rozeni
rho	DQ884555	Chilimelissa sp. 1 EABA-2006
rho	AY995804	Chlorion funereum
rho	DQ116699	Clitemnestra bipunctata
rho	DQ116693	Clypeadon haigi
rho	EU367273	Clypeadon taurulus
rho	GU245301	Coelioxoides sp. JS-2010
rho	GU245303	Coelioxoides waltheriae
rho	EU851634	Coelioxys afra
rho	AF344591	Coelioxys alternata
rho	DQ884530	Colletellus velutinellus
rho	DQ884545	Colletes bicolor
rho	DQ884542	Colletes compactus
rho	DQ884548	Colletes floralis
rho	DQ884550	Colletes furfuraceus
rho	DQ115542	Colletes inaequalis
rho	DQ884546	Colletes seminitidus
rho	DQ884543	Colletes simulans
rho	AY227912	Colletes skinneri
rho	DQ884547	Colletes sp. EABA-2006
rho	GU132315	Colletes stepheni
rho	DQ884544	Colletes thoracicus
rho	GU245335	Compsomelissa keiseri
rho	EF416856	Conanthalictus conanthi
rho	AY227916	Conanthalictus wilmattae
rho	AY227936	Corynura patagonica
rho	AY995811	Crabro scutellatus
rho	GU245260	Ctenioschelus goryi
rho	DQ884478	Ctenocolletes nigricans
rho	DQ884479	Ctenocolletes rufescens
rho	DQ884480	Ctenocolletes smaragdinus
rho	DQ116677	Ctenoplectra albolimbata
rho	GU245247	Ctenoplectra bequaerti
rho	GU245246	Ctenoplectrina sp. JS-2010
rho	EF416857	Curvinomia ridleyi
rho	DQ813189	Dactylurina staudingeri
rho	DQ116680	Dasypoda argentata
rho	EF594382	Dasypoda braccata
rho	EF594380	Dasypoda dusmeti
rho	EF594385	Dasypoda frieseana
rho	DQ116681	Dasypoda hirtipes
rho	EF594381	Dasypoda oraniensis
rho	EF594384	Dasypoda pyriformis
rho	EF594383	Dasypoda pyrotricha
rho	EF594386	Dasypoda spinigera
rho	EF594387	Dasypoda suripes
rho	DQ116682	Dasypoda visnaga
rho	HQ995777	Dianthidium arizonicum
rho	GU245308	Dianthidium subparvum
rho	AF344625	Dieunomia heteropoda
rho	AY227931	Dieunomia nevadensis
rho	AY227932	Dieunomia triangulifera
rho	AY227943	Dinagapostemon sp. BND-1
rho	AY227944	Dinagapostemon sp. BND-2
rho	HQ995768	Dioxys moesta
rho	GU245309	Dioxys pomonae
rho	DQ115545	Diphaglossa gayi
rho	GU245329	Doeringiella sp. JS-2010
rho	DQ813190	Dolichotrigona browni
rho	FJ042395	Dolichotrigona chachapoya
rho	HQ995778	Duckeanthidium thielei
rho	FJ042396	Duckeola ghilianii
rho	AY227917	Dufourea malacothricis
rho	AY227918	Dufourea mulleri
rho	AY227919	Dufourea novaeangliae
rho	EF416864	Dufourea spinifera
rho	EF416863	Dufourea spirula
rho	DQ884504	Edwyniana sp. EABA-2006
rho	HQ995779	Eoanthidium turnericum
rho	HQ995780	Epanthidium bicoloratum
rho	HM211838	Epeoloides coecutiens
rho	GU245287	Epeoloides pilosula
rho	AF344596	Epeolus scutellaris
rho	GU245330	Epeolus sp. JS-2010
rho	HM211846	Epeolus variegatus
rho	GU245254	Epiclopus gayi
rho	GU945206	Eremaphanta iranica
rho	GU245255	Ericrocis lata
rho	GU245232	Eucera frater
rho	DQ116696	Eucerceris tricolor
rho	GU245272	Eufriesea surinamensis
rho	GU245270	Euglossa piliventris
rho	GU245269	Eulaema meriana
rho	DQ884505	Eulonchopria punctatissima
rho	DQ884495	Eulonchopria simplicicrus
rho	EU203287	Eupetersia seyrigi
rho	DQ884516	Euryglossidia sp. 1 EABA-2006
rho	DQ884517	Euryglossidia sp. 2 EABA-2006
rho	DQ884518	Euryglossidia sp. 3 EABA-2006
rho	DQ884523	Euryglossidia sp. 4 EABA-2006
rho	DQ884524	Euryglossidia sp. 5 EABA-2006
rho	DQ115551	Euryglossina globuliceps
rho	GU245268	Exaerete sp. JS-2010
rho	AF344622	Exomalopsis completa
rho	AF344623	Exomalopsis rufiventris
rho	HM211835	Exomalopsis sp. JS-2010
rho	GU245337	Exoneura bicolor
rho	HQ995753	Fidelia braunsiana
rho	HQ995755	Fidelia friesei
rho	HQ995750	Fidelia kobrowi
rho	HQ995756	Fidelia pallidula
rho	HQ995751	Fidelia paradoxa
rho	HQ995754	Fidelia ulrikei
rho	HQ995752	Fidelia villosa
rho	HQ995757	Fideliopsis hessei
rho	EU851628	Fideliopsis major
rho	HQ995758	Fideliopsis ornata
rho	GU245265	Florilegus sp. JS-2010
rho	FJ042401	Friesella schrottkyi
rho	FJ042404	Frieseomelitta silvestrii
rho	FJ042402	Frieseomelitta trichocerata
rho	FJ042403	Frieseomelitta varia
rho	DQ813191	Geniotrigona incisa
rho	DQ788388	Geniotrigona thoracica
rho	DQ884551	Geodiscelis longiceps
rho	FJ042406	Geotrigona fulvatra
rho	DQ813194	Geotrigona fulvohirta
rho	FJ042407	Geotrigona mombuca
rho	FJ042405	Geotrigona subgrisea
rho	DQ884528	Glossurocolletes bilobatus
rho	AY227923	Goeletapis peruensis
rho	DQ115554	Goniocolletes fimbriatinus
rho	DQ115557	Goniocolletes perfasciatus
rho	AY227945	Habralictus sp. BND-2001
rho	HQ995822	Haetosmia brachyura
rho	EU851658	Haetosmia circumventa
rho	DQ884510	Halictanthrena malpighiacearum
rho	AY455894	Halictus kessleri
rho	AY455895	Halictus ligatus
rho	AY227956	Halictus quadricinctus
rho	DQ116674	Halictus rubicundus
rho	AY455896	Halictus scabiosae
rho	AY227957	Halictus tripartitus
rho	AY227958	Halictus vestitus
rho	DQ884539	Hemicotelles ruizii
rho	EU851661	Heriades crucifer
rho	EU851660	Heriades punctulifer
rho	EU851659	Heriades truncorum
rho	EF594375	Hesperapis cockerelli
rho	AF344597	Hesperapis larreae
rho	DQ116692	Hesperapis regularis
rho	EF594373	Hesperapis rhodocerata
rho	DQ116683	Hesperapis sp. Hesp940
rho	EF594374	Hesperapis trochanterata
rho	AY995807	Heterogyna nocticola
rho	AY995806	Heterogyna protea
rho	DQ813197	Heterotrigona bakeri
rho	DQ813195	Heterotrigona erythrogaster
rho	DQ788389	Heterotrigona itama
rho	DQ884520	Hexantheda missionica
rho	GU245332	Hexepeolus rhodogyne
rho	EU851662	Hofferia schmiedeknechti
rho	GU245319	Holcopasites arizonicus
rho	AF344600	Holcopasites calliopsidis
rho	GU245320	Holcopasites insoletus
rho	GU245322	Holcopasites minimus
rho	AF344602	Holcopasites ruthae
rho	GU245321	Holcopasites stevensi
rho	AY227964	Homalictus megastigmus
rho	AY227965	Homalictus punctatum
rho	DQ813198	Homotrigona fimbriata
rho	GU245258	Hopliphora velutina
rho	EU851678	Hoplitis adunca
rho	EU851673	Hoplitis aff. onychophora CJP-2008
rho	EU851683	Hoplitis albifrons
rho	EU851667	Hoplitis annulata crenulata
rho	EU851680	Hoplitis antalyae
rho	EU851675	Hoplitis biscutellae
rho	EU851668	Hoplitis bisulca
rho	EU851690	Hoplitis brachypogon
rho	EU851669	Hoplitis hemisphaerica
rho	EU851674	Hoplitis hypocrita
rho	EU851672	Hoplitis illustris
rho	EU851688	Hoplitis incanescens
rho	EU851681	Hoplitis lebanotica
rho	EU851663	Hoplitis leucomelana
rho	EU851664	Hoplitis mitis
rho	EU851677	Hoplitis mojavensis
rho	EU851686	Hoplitis moricei
rho	EU851685	Hoplitis nasuta
rho	EU851682	Hoplitis paralias
rho	EU851665	Hoplitis pilosifrons
rho	EU851689	Hoplitis platalea
rho	EU851676	Hoplitis robusta
rho	EU851670	Hoplitis sp. CJP-2008
rho	EU851679	Hoplitis tigrina
rho	EU851666	Hoplitis tridentata
rho	EU851684	Hoplitis tuberculata
rho	EU851687	Hoplitis villiersi
rho	EU851671	Hoplitis villosa
rho	EU851691	Hoplitis zuni
rho	DQ884497	Hoplocolletes ventralis
rho	EF416858	Hoplonomia amboiensis
rho	EU851694	Hoplosmia pinquis
rho	EU851693	Hoplosmia scutellaris
rho	EU851692	Hoplosmia spinulosa
rho	DQ884562	Hylaeus alcyoneus
rho	DQ115546	Hylaeus amiculus
rho	DQ212175	Hylaeus anthracinus
rho	DQ212176	Hylaeus connectens
rho	DQ212177	Hylaeus difficilis
rho	DQ884563	Hylaeus disjunctus
rho	DQ115547	Hylaeus elegans
rho	DQ212174	Hylaeus globula
rho	DQ212178	Hylaeus hula
rho	DQ212179	Hylaeus inquilina
rho	DQ212180	Hylaeus kauaiensis
rho	DQ212181	Hylaeus kokeensis
rho	DQ212182	Hylaeus kona
rho	DQ212172	Hylaeus leptocephalus
rho	DQ212183	Hylaeus longiceps
rho	AY227913	Hylaeus modestus
rho	DQ212184	Hylaeus pele
rho	DQ115548	Hylaeus proximus
rho	DQ212185	Hylaeus pubescens
rho	DQ212173	Hylaeus punctatus
rho	DQ884561	Hylaeus simplus
rho	DQ212186	Hylaeus solaris
rho	DQ884560	Hyleoides concinna
rho	HQ995781	Hypanthidioides marginata
rho	HQ995782	Hypanthidium obscurius
rho	GU245280	Hypotrigona gribodoi
rho	DQ813200	Hypotrigona ruspolii
rho	HQ995783	Icteranthidium ferrugineum
rho	GU245276	Isepeolus atripilis
rho	GU245275	Isepeolus cortesi
rho	GU245277	Isepeolus luctuosus
rho	GU245278	Isepeolus wagenknechti
rho	DQ116697	Isodontia mexicana
rho	DQ884507	Kylopasiphae pruinosa
rho	DQ884503	Kylopasiphae sp. EABA-2006
rho	AF448872	Lasioglossum albipes
rho	AF448907	Lasioglossum alphenum
rho	AF448874	Lasioglossum apristum
rho	AF448919	Lasioglossum asteris
rho	AF448867	Lasioglossum athabascense
rho	AF448875	Lasioglossum boreale
rho	AF448876	Lasioglossum brevicorne
rho	AF448877	Lasioglossum calceatum
rho	AF448878	Lasioglossum cinctipes
rho	AF448879	Lasioglossum comagenense
rho	AF448908	Lasioglossum cressonii
rho	AF448880	Lasioglossum duplex
rho	AF448903	Lasioglossum figueresi
rho	AY227966	Lasioglossum florale
rho	AF448881	Lasioglossum fulvicorne
rho	AF448868	Lasioglossum fuscipenne
rho	AF448898	Lasioglossum gattaca
rho	AF448909	Lasioglossum gundlachii
rho	AF448910	Lasioglossum hyalinum
rho	AY227963	Lasioglossum hybodinum
rho	AF448911	Lasioglossum imitatum
rho	AF448883	Lasioglossum inconditum
rho	AF448882	Lasioglossum interruptum
rho	AY227967	Lasioglossum lanarium
rho	AF448884	Lasioglossum laticeps
rho	AF448886	Lasioglossum limbellum
rho	AF448893	Lasioglossum lineare
rho	AY227962	Lasioglossum lithuscum
rho	AF448887	Lasioglossum lucidulum
rho	AF448904	Lasioglossum lustrans
rho	AF448890	Lasioglossum malachurum
rho	AF448889	Lasioglossum marginatum
rho	AF448888	Lasioglossum mediterraneum
rho	AF448891	Lasioglossum morio
rho	EU203307	Lasioglossum nicolli
rho	AF448892	Lasioglossum nigripes
rho	AF448905	Lasioglossum noctivagum
rho	AF448906	Lasioglossum oenotherae
rho	AF448912	Lasioglossum parvum
rho	AF448885	Lasioglossum pauxillum
rho	AF448869	Lasioglossum pavonotum
rho	AF448894	Lasioglossum pectorale
rho	AF448913	Lasioglossum pilosum
rho	AF448895	Lasioglossum politum
rho	AF448896	Lasioglossum puncticolle
rho	AF448897	Lasioglossum quebecense
rho	AF448914	Lasioglossum rohweri
rho	AY227968	Lasioglossum scitulum
rho	AF448870	Lasioglossum sisymbrii
rho	AF448899	Lasioglossum subtropicum
rho	AF448915	Lasioglossum tegulare
rho	AF448871	Lasioglossum titusi
rho	AF448900	Lasioglossum truncatum
rho	AF448916	Lasioglossum umbripenne
rho	AF448917	Lasioglossum vierecki
rho	AF448901	Lasioglossum villosulum
rho	AF448918	Lasioglossum zephyrum
rho	AY227969	Lasioglossum zonulum
rho	GU245290	Leiopodus abnormis
rho	AF344624	Leiopodus singularis
rho	GU245289	Leiopodus sp. JS-2010
rho	GU245291	Leiopodus trochantericus
rho	DQ884534	Leioproctus conospermi
rho	DQ115555	Leioproctus irroratus
rho	DQ884535	Leioproctus lanceolatus
rho	DQ884536	Leioproctus megachalcoides
rho	DQ884537	Leioproctus platycephalus
rho	DQ115556	Leioproctus plumosus
rho	DQ884538	Leioproctus sp. EABA-2006
rho	DQ813202	Lepidotrigona terminata
rho	AF493051	Lepidotrigona ventralis
rho	FJ042409	Lestrimelitta aff. limao CR-2009
rho	FJ042410	Lestrimelitta limao
rho	FJ042408	Lestrimelitta maracaia
rho	GU245286	Lestrimelitta sp. JS-2010
rho	FJ042412	Leurotrigona muelleri
rho	FJ042411	Leurotrigona pusilla
rho	DQ813205	Liotrigona madecassa
rho	DQ813204	Liotrigona mahafalya
rho	AY227930	Lipotriches australica
rho	DQ813206	Lisotrigona furva
rho	EU851629	Lithurgus chrysurus
rho	HQ995761	Lithurgus echinocacti
rho	HQ995762	Lithurgus pullatus
rho	HQ995763	Lithurgus rubricatus
rho	HQ995764	Lithurgus scabrosus
rho	HQ995765	Lithurgus tibialis
rho	DQ884527	Lonchopria robertsi
rho	DQ884525	Lonchopria similis
rho	DQ884526	Lonchopria sp. EABA-2006
rho	DQ813207	Lophotrigona canifrons
rho	GU245336	Macrogalea ellioti
rho	DQ116685	Macropis europaea
rho	EF594372	Macropis fulvipes
rho	DQ116686	Macropis nuda
rho	EF599216	Macrotera echinocacti
rho	EF599215	Macrotera latior
rho	GU245342	Manuelia gayatina
rho	GU245230	Martinapis luteicornis
rho	HQ995793	Megachile (Aethomegachile) sp. CJP-2011
rho	HQ995796	Megachile (Austrochile) sp. CJP-2011
rho	HQ995799	Megachile (Chelostomoda) sp. CJP-2011
rho	HQ995802	Megachile (Chrysosarus) sp. CJP-2011
rho	HQ995807	Megachile (Hackeriapis) sp. CJP-2011
rho	HQ995808	Megachile (Largella) sp. CJP-2011
rho	HQ995817	Megachile (Rhodomegachile) sp. CJP-2011
rho	HQ995798	Megachile aethiops
rho	EU851635	Megachile albisecta
rho	HQ995800	Megachile angelarum
rho	HQ995806	Megachile bombiformis
rho	HQ995815	Megachile ericetorum
rho	HQ995813	Megachile fabricator
rho	HQ995794	Megachile fimbriata
rho	HQ995804	Megachile mandibularis
rho	HQ995820	Megachile maritima
rho	HQ995810	Megachile maxillosa
rho	HQ995811	Megachile melanopyga
rho	HQ995816	Megachile microsoma
rho	HQ995812	Megachile nevadensis
rho	HQ995795	Megachile parallela
rho	EU851636	Megachile parietina
rho	HQ995805	Megachile patellimana
rho	EU851637	Megachile pilidens
rho	HQ995818	Megachile pugnata
rho	HQ995819	Megachile remeata
rho	HQ995797	Megachile sculpturalis
rho	HQ995814	Megachile sidalceae
rho	HQ995801	Megachile spinotulata
rho	HQ995809	Megachile texana
rho	HQ995803	Megachile zapoteca
rho	JN106067	Megalopta aegis
rho	JN106082	Megalopta aff. fornix ECUA E1
rho	JN106083	Megalopta aff. fornix ECUA G1
rho	JN106068	Megalopta atra
rho	JN106069	Megalopta byroni
rho	JN106070	Megalopta centralis
rho	JN106081	Megalopta cf. fornix PERU C6
rho	JN106086	Megalopta cf. genalis ECUA A1
rho	JN106087	Megalopta cf. genalis ECUA D2
rho	JN106088	Megalopta cf. genalis FRGU A3
rho	JN106089	Megalopta cf. genalis FRGU E9
rho	JN106080	Megalopta fornix
rho	AY227937	Megalopta genalis
rho	JN106092	Megalopta sodalis
rho	JN106090	Megalopta sp. morph-j
rho	JN106091	Megalopta sp. morph-p
rho	JN106095	Megaloptidia nocturna
rho	JN106096	Megaloptidia saulensis
rho	DQ113657	Megandrena enceliae
rho	DQ116689	Meganomia binghami
rho	JN106097	Megommation insigne
rho	HM211837	Melecta albifrons
rho	HM211836	Melectoides bellus
rho	DQ813210	Meliplebeia ogouensis
rho	FJ042421	Melipona aff. brachychaeta CR-2009
rho	FJ042413	Melipona aff. mimetica CR-2009
rho	FJ042417	Melipona aff. rufiventris CR-2009
rho	FJ042428	Melipona beecheii
rho	FJ042398	Melipona bicolor
rho	FJ042400	Melipona bradleyi
rho	FJ042422	Melipona crinita
rho	FJ042414	Melipona eburnea
rho	FJ042425	Melipona fasciata
rho	FJ042426	Melipona fasciculata
rho	DQ813208	Melipona grandis
rho	FJ042423	Melipona illota
rho	FJ042399	Melipona marginata
rho	FJ042419	Melipona scutellaris
rho	FJ042420	Melipona seminigra merrillae
rho	FJ042424	Melipona sp. B CR-2009
rho	AF344607	Melipona sp. Mpsp522
rho	FJ042416	Melipona titania
rho	FJ042397	Melipona tumupasae
rho	FJ042429	Melipona variegatipes
rho	AY267161	Meliponula bocandei
rho	GU245283	Meliponula ferruginea
rho	AF344603	Melissodes desponsa
rho	AF091731	Melissodes rustica
rho	AF344606	Melissodes sp. Mesp229
rho	GU245263	Melissoptila sp. JS-2010
rho	GU245314	Melitta arrogans
rho	DQ116687	Melitta capensis
rho	EF594367	Melitta dimidiata
rho	AF344604	Melitta eickworti
rho	EF594370	Melitta ezoana
rho	EF594369	Melitta haemorrhoidalis
rho	DQ116688	Melitta leporina
rho	EF594368	Melitta nigricans
rho	EF599207	Melitturga albescens
rho	DQ116703	Melitturga clavicornis
rho	EF599210	Meliturgula haematospila
rho	EF599209	Meliturgula scriptifrons
rho	DQ884565	Meroglossa itamuca
rho	GU245259	Mesocheira bicolor
rho	GU245256	Mesonychium asteria
rho	GU245257	Mesoplia rufipes
rho	AY227959	Mexalictus arizonensis
rho	HQ995766	Microthurge sp. JS-2010
rho	DQ884540	Mourecotelles mixta
rho	FJ042430	Mourella caerulea
rho	EF032903	Mydrosoma aterrimum
rho	DQ813211	Nannotrigona melanocera
rho	FJ042432	Nannotrigona perilampoides
rho	FJ042431	Nannotrigona schultzei
rho	FJ042433	Nannotrigona testaceicornis
rho	GU245293	Nanorhathymus sp. JS-2010
rho	EF599211	Neffapis longilingua
rho	AY227938	Neocorynura discolor
rho	HQ995759	Neofidelia longirostris
rho	HQ995760	Neofidelia profuga
rho	GU245305	Neofidelia sp. JS-2010
rho	GU245333	Neolarra orbiculata
rho	DQ884531	Neopasiphae mirabilis
rho	GU245323	Neopasites cressoni
rho	DQ884509	Niltonia virgilii
rho	FJ042434	Nogueirapis butteli
rho	FJ042435	Nogueirapis mirandula
rho	DQ884477	Nolanomelissa toroi
rho	AF344608	Nomada imbricata
rho	AF344609	Nomada maculata
rho	AF344610	Nomada obliterata
rho	HM211847	Nomada signata
rho	DQ884512	Nomiocolletes jenseni
rho	AY227929	Nomioides facilis
rho	EU203281	Nomioides tumidus
rho	HQ995784	Notanthidium steloides
rho	EU851695	Noteriades sp. CJP-2008
rho	EU851696	Ochreriades fasciatus
rho	DQ884532	Odontocolletes asper
rho	DQ884533	Odontocolletes pachydontus
rho	DQ813212	Odontotrigona haematoptera
rho	GU245327	Odyneropsis sp. JS-2010
rho	AF344626	Oreopasites barbarae
rho	DQ884476	Orphana wagenknechti
rho	HM211839	Osiris sp. JS-2010
rho	EU851705	Osmia anceps
rho	EU851700	Osmia andrenoides
rho	EU851710	Osmia apicata
rho	EU851702	Osmia aurulenta
rho	EU851712	Osmia bicolor
rho	EU851709	Osmia brevicornis
rho	EU851703	Osmia coloradensis
rho	EU851714	Osmia cornuta
rho	EU851706	Osmia difficilis
rho	EU851716	Osmia ferruginea
rho	EU851717	Osmia gallarum
rho	EU851701	Osmia glauca
rho	EU851697	Osmia integra
rho	EU851707	Osmia juxta
rho	EU851720	Osmia latisulcata
rho	EU851715	Osmia lignaria
rho	EU851711	Osmia nemoris
rho	EU851704	Osmia niveata
rho	EU851718	Osmia rhodoensis
rho	AY572828	Osmia rufa
rho	EU851698	Osmia rufohirta
rho	EU851699	Osmia sybarita
rho	EU851719	Osmia tergestensis
rho	EU851713	Osmia tingitana
rho	EU851708	Osmia xanthomelana
rho	EU851722	Othinosmia aff. securicornis CJP-2008
rho	EU851721	Othinosmia globicola
rho	DQ116694	Oxybelus abdominalis
rho	FJ042439	Oxytrigona mediorufa
rho	FJ042438	Oxytrigona mellicolor
rho	FJ042437	Oxytrigona mulfordi
rho	FJ042436	Oxytrigona obscura
rho	FJ042440	Oxytrigona tataira
rho	HQ995785	Pachyanthidium benguelense
rho	DQ884566	Palaeorhiza sp. 3 EABA-2006
rho	DQ884567	Palaeorhiza sp. 4 EABA-2006
rho	EF599227	Panurgus banksianus proximus
rho	AF344612	Panurgus calcaratus
rho	EF599217	Panurgus calceatus
rho	EF599218	Panurgus canescens
rho	EF599226	Panurgus cephalotes
rho	EF599221	Panurgus convergens
rho	EF599229	Panurgus dentatus
rho	EF599223	Panurgus dentipes
rho	EF599220	Panurgus farinosus
rho	EF599224	Panurgus maroccanus
rho	EF599219	Panurgus nigriscopus
rho	EF599231	Panurgus niloticus
rho	EF599225	Panurgus perezi
rho	EF599230	Panurgus pici
rho	EF599228	Panurgus pyropygus
rho	EF599222	Panurgus rungsi
rho	DQ884491	Paracolletes crassipes
rho	DQ884492	Paracolletes frederici
rho	DQ884493	Paracolletes robustus
rho	HQ995769	Paradioxys pannonica
rho	AF344627	Paranomada velutina
rho	HQ995786	Paranthidium jugatorium
rho	FJ042457	Parapartamona fumata
rho	FJ042458	Parapartamona tungurahuana
rho	HQ995749	Pararhophites orobinus
rho	EU851627	Pararhophites quadratus
rho	GU245296	Paratetrapedia sp. JS-2010
rho	EU203286	Parathrincostoma seyrigi
rho	FJ042449	Paratrigona guigliae
rho	FJ042450	Paratrigona lineata
rho	FJ042447	Paratrigona lineatifrons
rho	DQ813214	Paratrigona onorei
rho	FJ042448	Paratrigona pacifica
rho	GU245288	Parepeolus aterrimus
rho	DQ813213	Partamona auripennis
rho	FJ042445	Partamona epiphytophila
rho	FJ042446	Partamona musarum
rho	FJ042444	Partamona orizabaensis
rho	FJ042441	Partamona testacea
rho	FJ042443	Partamona vicina
rho	HM211842	Pasites maculatus
rho	AY227952	Patellapis (Chaetalictus) sp. BND-2001
rho	AY227953	Patellapis (Lomatalictus) sp. BND-2001
rho	AY227954	Patellapis (Pachyhalictus) sp. BND-2001
rho	EU203300	Patellapis (Zonalictus) sp. BND-2007
rho	EU203295	Patellapis abessinica
rho	EU203297	Patellapis albofasciata
rho	EU203296	Patellapis andreniformis
rho	EU203306	Patellapis braunsella
rho	EU203303	Patellapis castanea
rho	EU203293	Patellapis cf. minutior BND-2007
rho	EU203302	Patellapis coccinea
rho	EU203304	Patellapis inelegans
rho	EU203301	Patellapis joffrei
rho	EU203305	Patellapis lyalli
rho	EU203291	Patellapis malachurina
rho	EU203289	Patellapis minima
rho	EU203292	Patellapis montagui
rho	EU203294	Patellapis n. sp. 10
rho	EU203288	Patellapis n. sp. 114
rho	EU203290	Patellapis n. sp. 66
rho	EU203298	Patellapis vittata
rho	EU203299	Patellapis zacephala
rho	AY227921	Penapis penai
rho	AY227922	Penapis toroi
rho	GU245261	Peponapis pruinosa
rho	EF599214	Perdita californica
rho	EF599212	Perdita halictoides
rho	EF599213	Perdita trisignata
rho	DQ884499	Perditomorpha brunerii
rho	DQ884513	Perditomorpha leucostoma
rho	DQ884502	Perditomorpha rufiventris
rho	DQ884521	Perditomorpha sp. EABA-2006
rho	DQ884519	Perditomorpha stilborhina
rho	DQ884515	Phenacolletes mimus
rho	DQ116704	Philanthus gibbosus
rho	AY995812	Philanthus triangulum
rho	DQ813215	Platytrigona hobbyi
rho	FJ042455	Plebeia droryana
rho	DQ813216	Plebeia frontalis
rho	FJ042452	Plebeia minima
rho	FJ042454	Plebeia moureana
rho	FJ042456	Plebeia sp. A CR-2009
rho	FJ042451	Plebeia sp. B CR-2009
rho	FJ042453	Plebeia sp. C CR-2009
rho	DQ813217	Plebeiella lendliana
rho	GU245284	Plebeina hildebrandti
rho	DQ116705	Plenoculus nr. parvus BND-2010
rho	EF599208	Plesiopanurgus zizus
rho	AY995805	Prionyx kirbii
rho	GU245304	Promelitta alboclypeata
rho	EF599204	Protandrena mexicanorum
rho	AY227920	Protodufourea sp. BND-2003
rho	EU851726	Protosmia humeralis
rho	EU851723	Protosmia longiceps
rho	EU851725	Protosmia minutula
rho	EU851724	Protosmia rubifloris
rho	DQ113658	Protoxaea gloriosa
rho	AY227946	Pseudagapostemon brasiliensis
rho	AY227947	Pseudagapostemon pissisi
rho	AY227933	Pseudapis unidentata
rho	HQ995787	Pseudoanthidium scapulare
rho	EU851727	Pseudoheriades moricei
rho	DQ113660	Pseudopanurgus fraterculus
rho	DQ884481	Ptiloglossa sp. EABA-2006
rho	DQ884488	Ptiloglossa tarsata
rho	DQ884487	Ptiloglossidia fallax
rho	FJ042460	Ptilotrigona lurida
rho	FJ042459	Ptilotrigona pereneae
rho	HQ995821	Radoszkowskiana rufiventris
rho	DQ116690	Rediviva mcgregori
rho	EF594371	Rediviva saetigera
rho	DQ116691	Redivivoides simulans
rho	GU245292	Rhathymus sp. JS-2010
rho	GU245294	Rhathymus unicolor
rho	GU245331	Rhinepeolus rufiventris
rho	JN106098	Rhinetula denticrus
rho	HQ995788	Rhodanthidium septemdentatum
rho	DQ116675	Rophites algirus
rho	AY227949	Ruizantheda mutabilis
rho	AY227950	Ruizantheda proxima
rho	GU945207	Samba atra
rho	GU945208	Samba fasciata
rho	DQ116684	Samba griseonigra
rho	EF594388	Samba ogilviei
rho	EF594389	Samba spinosa
rho	FJ042467	Scaptotrigona bipunctata
rho	FJ042468	Scaptotrigona depilis
rho	GU245285	Scaptotrigona hellwegeri
rho	FJ042466	Scaptotrigona mexicana
rho	FJ042465	Scaptotrigona pectoralis
rho	DQ813220	Scaptotrigona polysticta
rho	FJ042461	Scaptotrigona sp. A CR-2009
rho	FJ042463	Scaptotrigona sp. B CR-2009
rho	FJ042462	Scaptotrigona sp. C CR-2009
rho	FJ042464	Scaptotrigona tricolorata
rho	FJ042471	Scaura latitarsis
rho	FJ042469	Scaura longula
rho	FJ042470	Scaura tenuis
rho	DQ116695	Sceliphron caementarium
rho	AY995801	Sceliphron funestum
rho	FJ042472	Schwarziana quadripunctata
rho	FJ042474	Schwarzula coccidophila
rho	FJ042473	Schwarzula timida
rho	EF032904	Scrapter algoensis
rho	DQ115558	Scrapter erubescens
rho	DQ115559	Scrapter heterodoxus
rho	DQ115560	Scrapter niger
rho	DQ115561	Scrapter ruficornis
rho	HQ995789	Serapista rufipes
rho	AY227960	Sphecodes minor
rho	AY227961	Sphecodes ranunculi
rho	GU245317	Sphecodopsis capensis
rho	EF416860	Sphecodosoma beameri
rho	AY227924	Sphecodosoma pratti
rho	DQ116698	Sphex lucae
rho	DQ884501	Spinolapis caerulescens
rho	DQ884511	Spinolapis sp. EABA-2006
rho	GU245312	Stelis linsleyi
rho	EU851632	Stelis punctulatissima
rho	HQ995790	Stelis sp. 'paiute'
rho	EU851728	Stenoheriades asiaticus
rho	EU851729	Stenosmia aff. aravensis CJP-2008
rho	EU851730	Stenosmia minima
rho	DQ115564	Stenotritus sp. BND-2004
rho	DQ116706	Stigmus fulvipes
rho	DQ813221	Sundatrigona moorei
rho	AF344631	Svastra machaerantherae
rho	AF344632	Svastra obliqua
rho	GU245262	Svastrides melanura
